id,comment_count,favorite_count,score
18477354,3,,0
18477735,3,,0
18478029,3,,0
18480175,3,,0
18481158,3,,0
18481193,3,,0
18481796,3,,0
18481977,3,,0
18482962,3,,0
18483862,3,,0
18484010,3,,0
17990543,3,,1
18036499,3,,1
18094358,3,,1
18109601,3,,1
18280631,3,,1
18320751,3,,1
18336490,3,,1
18337761,3,,1
18385342,3,,1
18394072,3,,1
18403502,3,,1
18410318,3,,1
18413114,3,,1
18414746,3,,1
18416150,3,,1
18418220,3,,1
18418699,3,,1
18420519,3,,1
18420811,3,,1
18421342,3,,1
18422516,3,,1
18424837,3,,1
18425425,3,,1
18426163,3,,1
18427328,3,,1
18429316,3,,1
18429949,3,,1
18432285,3,,1
18432538,3,,1
18433300,3,,1
18435041,3,,1
18435064,3,,1
18436181,3,,1
18436194,3,,1
18436452,3,,1
18436565,3,,1
18440230,3,,1
18440524,3,,1
18441061,3,,1
18442320,3,,1
18443559,3,,1
18444248,3,,1
18444291,3,,1
18446203,3,,1
18446324,3,,1
18447032,3,,1
18450116,3,,1
18451622,3,,1
18452342,3,,1
18456721,3,,1
18458213,3,,1
18458534,3,,1
18459006,3,,1
18462114,3,,1
18465218,3,,1
18465423,3,,1
18466894,3,,1
18467228,3,,1
18467438,3,,1
18467638,3,,1
18474774,3,,1
18474789,3,,1
18475294,3,,1
18477168,3,,1
18477532,3,,1
18478257,3,,1
18478333,3,,1
18481209,3,,1
18483006,3,,1
18483484,3,,1
18483958,3,,1
18484052,3,,1
17933753,3,,2
17969809,3,,2
18317061,3,,2
18329667,3,,2
18362997,3,,2
18364613,3,,2
18405127,3,,2
18405668,3,,2
18407101,3,,2
18409897,3,,2
18410949,3,,2
18411038,3,,2
18412204,3,,2
18413536,3,,2
18418932,3,,2
18419769,3,,2
18420131,3,,2
18421049,3,,2
18423795,3,,2
18424202,3,,2
18424220,3,,2
18425778,3,,2
18426489,3,,2
18428226,3,,2
18430312,3,,2
18431279,3,,2
18434815,3,,2
18435400,3,,2
18436548,3,,2
18436756,3,,2
18436790,3,,2
18436858,3,,2
18439386,3,,2
18442351,3,,2
18443883,3,,2
18444193,3,,2
18444481,3,,2
18446501,3,,2
18447997,3,,2
18451066,3,,2
18452160,3,,2
18454012,3,,2
18454684,3,,2
18456700,3,,2
18457321,3,,2
18464800,3,,2
18465261,3,,2
18466648,3,,2
18467323,3,,2
18469775,3,,2
18472033,3,,2
18472395,3,,2
18473363,3,,2
18474895,3,,2
18474925,3,,2
18478819,3,,2
18481032,3,,2
18482099,3,,2
18483343,3,,2
17894779,3,,3
18164884,3,,3
18211552,3,,3
18220718,3,,3
18284229,3,,3
18311886,3,,3
18342666,3,,3
18406600,3,,3
18420681,3,,3
18422690,3,,3
18425854,3,,3
18426779,3,,3
18430262,3,,3
18431734,3,,3
18431975,3,,3
18432367,3,,3
18434384,3,,3
18434650,3,,3
18436496,3,,3
18441046,3,,3
18442025,3,,3
18444573,3,,3
18447043,3,,3
18452905,3,,3
18453728,3,,3
18457475,3,,3
18457915,3,,3
18462310,3,,3
18463637,3,,3
18465646,3,,3
18468853,3,,3
18474234,3,,3
18474264,3,,3
18481906,3,,3
18098294,3,,4
18308993,3,,4
18388828,3,,4
18402603,3,,4
18406835,3,,4
18411395,3,,4
18426203,3,,4
18426613,3,,4
18428489,3,,4
18429890,3,,4
18430081,3,,4
18435240,3,,4
18444496,3,,4
18448451,3,,4
18453300,3,,4
18453997,3,,4
18468752,3,,4
18478327,3,,4
18484813,3,,4
18030302,3,,5
18406908,3,,5
18414602,3,,5
18421056,3,,5
18421403,3,,5
18422509,3,,5
18430861,3,,5
18436640,3,,5
18436913,3,,5
18464137,3,,5
18467477,3,,5
18471761,3,,5
18479255,3,,5
18108087,3,,6
18258813,3,,6
18422678,3,,6
18422757,3,,6
18468857,3,,6
18472598,3,,6
17883722,3,,7
18456264,3,,7
18461370,3,,7
18466764,3,,7
18468854,3,,7
18475763,3,,7
